          Temp:     MC_cycles:         Avg_E:       Avg_E^2:       Avg_mag:     Avg_mag^2: accepted conf:
    1.000000000           7300   -797.8920548    398.4068493    636822.7441    159055.9951           3959
    1.000000000           7400   -797.8356757    397.7929730    636751.6714    158772.8411           4185
    1.000000000           7500   -784.4618667    353.6466667    616696.6101    138664.7323          21489
    1.000000000           7600   -798.3326316    399.1697368    637460.2316    159451.7711           3307
    1.000000000           7700   -797.5823377    397.7966234    636332.8582    158632.9699           4573
    1.000000000           7800   -798.2774359    399.0412821    637360.3631    159374.9738           3483
    1.000000000           7900   -798.1837975    398.8982278    637248.6542    159320.5641           3779
    1.000000000           8000   -792.8650000    382.7685000    629272.5840    151547.9000          11747
    1.000000000           8100   -798.1116049    398.7627160    637117.7798    159233.9956           3947
    1.000000000           8200   -797.9082927    398.2739024    636829.9473    158965.5985           4535
    1.000000000           8300   -798.1681928    398.7166265    637199.8053    159223.1084           3859
    1.000000000           8400   -798.2952381    399.0019048    637406.2476    159373.8257           3795
    1.000000000           8500   -797.7934118    398.1402353    636633.1313    158895.2348           4569
    1.000000000           8600   -797.8423256    397.9069767    636741.1330    158813.8986           4784
    1.000000000           8700   -797.9871264    398.2452874    636947.7554    158984.8244           4563
    1.000000000           8800   -797.9822727    397.7995455    636946.0018    158791.7636           4625
    1.000000000           8900   -797.6795506    397.7391011    636510.7074    158738.0625           5362
    1.000000000           9000   -798.1888889    398.8451111    637273.8222    159276.3684           4269
    1.000000000           9100   -797.6400000    397.4279121    636451.0119    158643.9336           5445
    1.000000000           9200   -797.8278261    397.7917391    636694.0452    158718.4930           5220
    1.000000000           9300   -795.0550538    389.5789247    632567.8469    154716.3553           9703
    1.000000000           9400   -797.6680851    397.8621277    636472.2145    158714.8681           5299
    1.000000000           9500   -798.3553684    398.9787368    637471.0636    159327.0615           4203
    1.000000000           9600   -747.6150000    251.5006250    561471.7967    86155.73875          94981
    1.000000000           9700   -782.4593814    345.4286598    613663.8186    135040.6256          33779
    1.000000000           9800   -794.9351020    388.5055102    632364.2563    154480.3408          10487
    1.000000000           9900   -797.9098990    397.6595960    636829.1863    158727.8202           5311
    1.000000000          10000   -798.4560000    399.2198000    637652.1984    159493.9308           4163
