          Temp:     MC_cycles:         Avg_E:       Avg_E^2:       Avg_mag:     Avg_mag^2: accepted conf:
    2.400000000            100   -447.8400000    86.38000000    204978.2400    12311.00000          12593
    2.400000000            200   -481.5600000    181.5400000    234368.4800    36152.76000          22526
    2.400000000            300   -501.7200000    209.9066667    254834.8267    50798.42667          31700
    2.400000000            400   -492.1500000    181.5350000    246402.6800    43017.21000          43636
    2.400000000            500   -498.3920000    193.5360000    252012.8960    45866.30400          52986
    2.400000000            600   -488.5800000    172.1966667    242561.0400    39315.00667          65711
    2.400000000            700   -492.7257143    175.1485714    245758.8343    39575.17714          76459
    2.400000000            800   -485.8150000    169.4125000    240139.1800    39145.84500          88840
    2.400000000            900   -500.6266667    191.2466667    254090.7200    44094.92000          95122
    2.400000000           1000   -494.4520000    177.9820000    248093.4560    40278.04400         108569
    2.400000000           1100   -502.3454545    182.2800000    256062.9382    43239.12727         115386
    2.400000000           1200   -480.7466667    151.4900000    234313.4667    30463.22000         134970
    2.400000000           1300   -512.6030769    230.5092308    265681.0338    57422.74154         130878
    2.400000000           1400   -475.1485714    133.6900000    227944.7771    25587.78000         161452
    2.400000000           1500   -510.0266667    205.3973333    263757.9093    51801.95733         153911
    2.400000000           1600   -506.1650000    201.7800000    259397.6400    48387.76000         166116
    2.400000000           1700   -500.6094118    184.7035294    253876.6965    42829.85412         178983
    2.400000000           1800   -501.1355556    201.2577778    254203.1911    47389.22222         189491
    2.400000000           1900   -496.9873684    183.0252632    250189.6168    42416.42947         204286
    2.400000000           2000   -489.5600000    173.5970000    243202.5760    39379.28600         219573
    2.400000000           2100   -505.2476190    201.8457143    258831.9162    49015.04762         218579
    2.400000000           2200   -483.2527273    154.0027273    236369.0400    31171.83091         246429
    2.400000000           2300   -493.2973913    183.5904348    246703.0122    42170.08174         250089
    2.400000000           2400   -502.4500000    207.9158333    256280.3067    51055.04500         250860
    2.400000000           2500   -498.4400000    184.2712000    252051.7184    43876.81760         265252
    2.400000000           2600   -490.8184615    171.3992308    244593.9692    38773.40462         284668
    2.400000000           2700   -486.3525926    167.4000000    239908.8948    36389.19407         298581
    2.400000000           2800   -495.3457143    186.2514286    248643.7371    42156.49143         301150
    2.400000000           2900   -486.0510345    175.1655172    239472.2262    38627.56414         322321
    2.400000000           3000   -493.8120000    168.5480000    247342.0533    38027.88533         324494
    2.400000000           3100   -494.7238710    187.9116129    247929.1613    42847.28129         334357
    2.400000000           3200   -487.8287500    166.7862500    241168.0850    36710.93000         352312
    2.400000000           3300   -487.3357576    155.8581818    240700.8873    33932.57697         364605
    2.400000000           3400   -495.4847059    173.4500000    249185.5059    40199.20118         365112
    2.400000000           3500   -490.2297143    177.8165714    243593.4034    39580.59086         382612
    2.400000000           3600   -490.4633333    170.0738889    243804.3333    37796.33000         394723
    2.400000000           3700   -497.1405405    188.9578378    250496.3676    43730.20541         394458
    2.400000000           3800   -489.0663158    163.6368421    242098.2358    35365.70526         418680
    2.400000000           3900   -512.2317949    214.4805128    266285.6205    54789.50256         393959
    2.400000000           4000   -488.5900000    173.3710000    242133.2080    38521.01600         439826
    2.400000000           4100   -496.9600000    186.0043902    250324.8624    43374.62537         437479
    2.400000000           4200   -492.0780952    169.0142857    245910.4762    38768.24381         456851
    2.400000000           4300   -488.9209302    171.5497674    242129.5181    37379.69860         474454
    2.400000000           4400   -496.0481818    180.0068182    249459.4000    41313.40818         471791
    2.400000000           4500   -489.1902222    164.6257778    242802.6560    36505.58756         494814
    2.400000000           4600   -498.6391304    189.6382609    251768.5113    43848.09217         488734
    2.400000000           4700   -505.9821277    206.7293617    259352.9226    49996.05617         486506
    2.400000000           4800   -491.3566667    179.1391667    244535.9333    40445.02500         523174
    2.400000000           4900   -496.1918367    184.9746939    249458.3020    42687.85633         524857
    2.400000000           5000   -486.7088000    162.4264000    239900.0384    35108.14400         552756
    2.400000000           5100   -496.6768627    184.2050980    250183.5200    43167.33569         545217
    2.400000000           5200   -500.0538462    189.7250000    252977.1877    43897.94538         548735
    2.400000000           5300   -499.5954717    189.9128302    252783.2211    44294.68604         562546
    2.400000000           5400   -489.1925926    173.3196296    242530.2874    38210.98889         592545
    2.400000000           5500   -489.2741818    166.5683636    242875.2349    37482.69164         603793
    2.400000000           5600   -487.9014286    166.8607143    241033.3314    35586.80000         616809
    2.400000000           5700   -484.7389474    163.6136842    238015.5032    35029.71579         635721
    2.400000000           5800   -501.9937931    192.5855172    255531.6883    45716.13517         608517
    2.400000000           5900   -494.3172881    176.3976271    247588.6264    40063.39864         636497
    2.400000000           6000   -488.7033333    175.3390000    241952.7387    39011.53533         659275
    2.400000000           6100   -503.0688525    190.9183607    256531.0741    46387.00787         639464
    2.400000000           6200   -488.0058065    169.7506452    241089.1019    37222.40323         681819
    2.400000000           6300   -497.4146032    185.9701587    250876.8863    43622.65651         670973
    2.400000000           6400   -501.0218750    196.4768750    254273.6625    46256.51375         675376
    2.400000000           6500   -491.2449231    173.1335385    244346.8677    38102.46400         708822
    2.400000000           6600   -490.5315152    176.4763636    243824.8848    39057.77576         721415
    2.400000000           6700   -488.7074627    170.5232836    241889.5021    37383.25075         738736
    2.400000000           6800   -492.5505882    175.4808824    246114.3529    39580.40176         738011
    2.400000000           6900   -488.2011594    169.7936232    241390.0962    37442.80000         760841
    2.400000000           7000   -491.2525714    172.0028571    244500.8686    38729.95543         762994
    2.400000000           7100   -493.1667606    176.6188732    246500.8248    39774.95042         769754
    2.400000000           7200   -500.6366667    194.2780556    254159.6489    46555.86500         758567
    2.400000000           7300   -497.2394521    191.6572603    250269.4795    44064.54740         780471
    2.400000000           7400   -494.4356757    175.6683784    247907.8919    40079.38216         799675
    2.400000000           7500   -485.7280000    163.1354667    238887.6843    35045.14347         833477
    2.400000000           7600   -492.9000000    182.0831579    246255.6211    40877.45474         824042
    2.400000000           7700   -495.9823377    185.4810390    249370.0655    42584.23688         825189
    2.400000000           7800   -501.3117949    198.1253846    254766.0062    47986.98513         822619
    2.400000000           7900   -500.8389873    191.3924051    253963.6597    44734.42430         834645
    2.400000000           8000   -493.9435000    185.3585000    247029.3700    41858.67300         864234
    2.400000000           8100   -494.1550617    178.0938272    247374.1432    40834.84247         874849
    2.400000000           8200   -499.4575610    194.6270732    252722.1346    45869.23366         868230
    2.400000000           8300   -500.5546988    195.2421687    253987.1711    46234.58458         875243
    2.400000000           8400   -496.2500000    186.4426190    249450.6457    42877.40429         899612
    2.400000000           8500   -495.8832941    189.3371765    249220.4386    44101.47529         910330
    2.400000000           8600   -494.8660465    182.0176744    248261.1870    41716.85209         925866
    2.400000000           8700   -492.6993103    179.2857471    245917.0299    40397.89655         944588
    2.400000000           8800   -485.2995455    162.8527273    238739.5655    35251.50636         979766
    2.400000000           8900   -489.8310112    167.4840449    243210.5780    37244.07191         974616
    2.400000000           9000   -496.7791111    180.3108889    249957.8578    41266.38089         963835
    2.400000000           9100   -498.1780220    184.4008791    251796.2075    43511.64571         969358
    2.400000000           9200   -492.9852174    180.5913043    246191.0539    40592.36087         996344
    2.400000000           9300   -497.4941935    186.4664516    250708.1049    43209.92043         992954
    2.400000000           9400   -497.9863830    187.7374468    251193.5864    43522.90043        1000221
    2.400000000           9500   -490.7932632    179.2480000    243906.5836    39594.35200        1037098
    2.400000000           9600   -496.9679167    184.9687500    250218.2617    42840.06000        1024725
    2.400000000           9700   -491.9995876    175.0319588    245558.6755    39441.17320        1053297
    2.400000000           9800   -490.4322449    172.4534694    243703.2408    38732.34612        1072311
    2.400000000           9900   -500.9434343    197.5040404    254466.6133    47024.63475        1044405
    2.400000000          10000   -498.2848000    190.7654000    251559.5360    44193.15000        1064126
